appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.10,iOS,iPhone,iPhone XS Max China,13.6,iPhone,王兴枝的 iPhone,CH5005,P01705,按钮点击,P6025,32aa3d709bb3733efd684695db220de9,1647303511983,1647303512000,4070880000000,4070880000000,0,1647303616000,1647272087866,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 8,14.7.1,iPhone,陈虹兵的iPhone (2),CH5005,P02w,按钮点击,P70,e41c1b306b0e65077b87d20520b64a9e,1647344953685,1647344955000,4070880000000,4070880000000,0,1647345012000,1647344974121,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""774.000""}]"
8.10,iOS,iPhone,iPhone 8,14.7.1,iPhone,陈虹兵的iPhone (2),CH5005,P02w,按钮点击,P70,e41c1b306b0e65077b87d20520b64a9e,1647344953685,1647344955000,4070880000000,4070880000000,0,1647345061000,1647345012803,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""377.000""}]"
8.10,iOS,iPhone,iPhone 11,14.4.2,iPhone,郑修平的iPhone,CH5005,P02w,按钮点击,P70,59c305a346eaa201bfcd2f5853613a91,1647305673335,1647305674000,4070880000000,4070880000000,0,1647305691000,1647305687201,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.08,Android,OPPO,PEGM10,Android 11,OPPO,OPPO Reno5 K 5G,CH5005,�,按钮点击,null,e9c50240cb54e09d0e2224c6c31ba0bf,1647310380026,1647310380000,4070880000000,4070880000000,0,1647310483000,1647310479510,mockUrl/eScore.html#/index,"[{""FCP"":""275.800""},{""TTFB"":""5.900""},{""LCP"":""981.500""},{""FID"":""8.000""},{""CLS"":""0.013""}]"
8.10,iOS,iPhone,iPhone 11,14.2,iPhone,iPhone,CH5005,P6097,按钮点击,P6306,5febde8e757b444786daa46b6fa4c7a5,1647306474894,1647314454000,4070880000000,4070880000000,0,1647314506000,1647307414900,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.07,Android,Xiaomi,MI 8,Android 10,Xiaomi,杨超的MI 8,CH5005,�,按钮点击,null,b70104200aacd94c6977ed23bb0c5e53,1647350435530,1647351192000,4070880000000,4070880000000,0,1647351231000,1647350547576,mockUrl/eScore.html#/index,"[{""FCP"":""247.100""},{""TTFB"":""2.500""},{""LCP"":""748.100""},{""FID"":""12.500""},{""CLS"":""0.109""}]"
8.10,iOS,iPhone,iPhone 11,13.6,iPhone,iPhone (50),CH5005,P02w,按钮点击,P70,c357f8407dd3be10b3d147270f52a686,1647335485106,1647336684000,4070880000000,4070880000000,0,1647336727000,1647336723113,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone XR,14.2,iPhone,iPhone,CH5005,P6097,按钮点击,P6306,b40ad3107986e9ddf32cb9f2e0af2c00,1647333178901,1647333608000,4070880000000,4070880000000,0,1647333633000,1647327848977,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone XR,15.3.1,iPhone,高丽丽的 iPhone,CH5005,P6097,按钮点击,P6306,2995d9ac0478348b158c8248ed2c0c48,1647358551727,1647358552000,4070880000000,4070880000000,0,1647358957000,1647307352975,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""1270.000""}]"
8.08,Android,HUAWEI,LIO-AL00,Android 10,HUAWEI,HUAWEI Mate 30 Pro,CH5005,P02w,按钮点击,P70,f0cc8de39013a3c81843d973b2e3a848,1647334785556,1647334786000,4070880000000,4070880000000,0,1647334810000,1647334805826,mockUrl/eScore.html#/index,"[{""FCP"":""322.500""},{""TTFB"":""1.600""},{""CLS"":""0.000""},{""LCP"":""501.300""}]"
8.08,Android,HONOR,JSN-AL00,Android 10,HONOR,Honor 8X,CH5005,P02w,按钮点击,P70,9d4c8f0a1fbb5942ddc0f6a586ec111e,1647346043066,1647346045000,4070880000000,4070880000000,0,1647346264000,1647346203749,mockUrl/eScore.html#/index,"[{""FCP"":""853.400""},{""TTFB"":""3.000""},{""LCP"":""1667.600""},{""CLS"":""0.340""}]"
8.10,iOS,iPhone,iPhone 12 Pro Max,14.8.1,iPhone,iPhonechenjie,CH5005,P6097,按钮点击,P6306,3de65d1c12b64ad49b8bca07c426d68e,1647319535823,1647348807000,4070880000000,4070880000000,0,1647348944000,1647348836351,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""169.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 11 Pro,15.3.1,iPhone,iPhone,CH5005,P6097,按钮点击,P6306,e1b3b7a2e04a075ead7395a1da46fc79,1647354079070,1647354080000,4070880000000,4070880000000,0,1647354105000,1647320858241,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""808.000""}]"
7.18,Android,HUAWEI,NOH-AN00,Android 10,HUAWEI,HUAWEI Mate 40 Pro,CH5005,�,按钮点击,null,db84a8151adceafcf3f44669f584779b,1647323590500,1647323591000,4070880000000,4070880000000,0,1647323604000,1647135309644,mockUrl/eScore.html#/index,"[{""FCP"":""609.900""},{""TTFB"":""1.500""},{""CLS"":""0.039""},{""LCP"":""1314.599""}]"
7.17,Android,Xiaomi,MI 9,Android 10,Xiaomi,安然浅笑的MI 9,CH5005,�,按钮点击,null,d2d6734690bfe18e66df15bb3ce8720c,1647355425797,1647355426000,4070880000000,4070880000000,0,1647355563000,1647355470674,mockUrl/eScore.html#/index,"[{""FCP"":""1354.800""},{""TTFB"":""2.000""},{""LCP"":""2812.500""},{""CLS"":""0.047""},{""CLS"":""0.068""}]"
8.082,Android,HONOR,TNA-AN00,Android 11,HONOR,HONOR TNA-AN00,CH5005,�,按钮点击,null,476a757f488c5b669b1be7eb0bea6e31,1647294420311,1647296371000,4070880000000,4070880000000,0,1647296426000,1647296424617,mockUrl/eScore.html#/index,"[{""FCP"":""175.200""},{""TTFB"":""1.800""},{""LCP"":""698.400""},{""FID"":""77.000""}]"
8.10,iOS,iPhone,iPhone 11,14.1,iPhone,iPhone (2),CH5005,P00073,按钮点击,C01599,75a517b452a52500f57136314769f578,1647330327536,1647330328000,4070880000000,4070880000000,0,1647330349000,1647309543275,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone XS,15.3.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,42b3538ae3dfc4d84b878a967c2a1322,1647305680968,1647315485000,4070880000000,4070880000000,0,1647315506000,1647315502849,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""785.000""}]"
